id,session_id,tg_user_id,event_type,event_name,page,metadata,created_at,event_category,event_subtype,element_id,element_type,section,scroll_depth,time_spent,interaction_count,previous_event_id,step_number,completion_rate,error_message,custom_data
615,66,,visit,source_visit,,,2026-01-25 19:37:42,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": ""https://spacegrow.vercel.app/""}"
616,66,,app,miniapp_open,,,2026-01-25 19:37:42,engagement,,,,,,,,,,,,"{""device"": ""mobile"", ""page_id"": ""main"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
617,66,,content,content_view,,,2026-01-25 19:37:43,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
618,66,,content,personal_path_view,,,2026-01-25 19:37:43,engagement,,,,,,0,,,,,,"{""open_time"": 1769369862937, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
619,57,,content,content_view,,,2026-01-25 19:39:04,engagement,,,,,0,7079,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
620,66,,content,content_view,,,2026-01-25 19:39:04,engagement,,,,,0,80,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
621,57,,content,content_view,,,2026-01-25 19:39:11,engagement,,,,,0,7087,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
622,66,,content,content_view,,,2026-01-25 19:39:19,engagement,,,,,0,96,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
623,57,,content,content_view,,,2026-01-25 19:39:19,engagement,,,,,0,7095,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
624,57,,content,content_view,,,2026-01-25 19:41:15,engagement,,,,,0,7210,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
625,66,,content,content_view,,,2026-01-25 19:41:17,engagement,,,,,0,213,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
626,57,,content,content_view,,,2026-01-25 19:45:10,engagement,,,,,0,7445,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
627,64,,content,content_view,,,2026-01-25 19:45:48,engagement,,,,,0,677,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
628,67,,visit,source_visit,,,2026-01-25 19:45:57,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
